Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  18500 	Average Loss:  1.4489772041963196
Iteration:  18600 	Average Loss:  1.5429947062887985
Iteration:  18700 	Average Loss:  1.455263027967623
Iteration:  18800 	Average Loss:  1.4043647379165187
Iteration:  18900 	Average Loss:  1.5754457899570549
Iteration:  19000 	Average Loss:  1.4542912786082485
Iteration:  19100 	Average Loss:  1.475735525627907
Iteration:  19200 	Average Loss:  1.4611127817492269
Iteration:  19300 	Average Loss:  1.3892462267468337
Iteration:  19400 	Average Loss:  1.4037737625873874
Iteration:  19500 	Average Loss:  1.5917230813073528
Iteration:  19600 	Average Loss:  1.4702859553307885
Iteration:  19700 	Average Loss:  1.2760579226654343
Iteration:  19800 	Average Loss:  1.5403853134387169
Iteration:  19900 	Average Loss:  1.3877439384730343
Iteration:  20000 	Average Loss:  1.3896109018386784
Accuracy 0.20009627727856225
Iteration:  20100 	Average Loss:  1.2901582333053958
Iteration:  20200 	Average Loss:  1.31175804951283
Iteration:  20300 	Average Loss:  1.3289972467790276
Iteration:  20400 	Average Loss:  1.316170873532856
Iteration:  20500 	Average Loss:  1.3544451571003626
Iteration:  20600 	Average Loss:  1.4505232658567644
Iteration:  20700 	Average Loss:  1.4962537951790904
Iteration:  20800 	Average Loss:  1.3784424368960646
Iteration:  20900 	Average Loss:  1.288801492213362
Iteration:  21000 	Average Loss:  1.5390960143679637
Iteration:  21100 	Average Loss:  1.4714498092493844
Iteration:  21200 	Average Loss:  1.3571839766290907
Iteration:  21300 	Average Loss:  1.2213729767768065
Iteration:  21400 	Average Loss:  1.452822356718555
Iteration:  21500 	Average Loss:  1.528153570822334
Iteration:  21600 	Average Loss:  1.3043957280945944
Iteration:  21700 	Average Loss:  1.3899153522150542
Iteration:  21800 	Average Loss:  1.445729811814557
Iteration:  21900 	Average Loss:  1.353986824443033
Iteration:  22000 	Average Loss:  1.4858235638291433
Iteration:  22100 	Average Loss:  1.3210784853230888
